Episode,Reward,Loss
1,-123.24972821474077,0.12833493208403096
2,-121.05701039908449,0.09141998696373775
3,-124.81887301206591,0.043763915128074586
4,-123.86300591230396,0.013667501920135692
5,-126.05142914056778,0.004873581099964212
6,-126.34592837095268,0.0023196968718548305
7,-125.28848363757122,0.0014930459213792345
8,-125.61464694142337,0.0012825416901614517
9,-125.29806550145162,0.0013168554430012592
10,-122.37784582935274,0.001405218823638279
11,-125.72874493002888,0.0015795355744194239
12,-124.45776017308233,0.0016225055549875832
13,-125.06747550666333,0.0017021611603558996
14,-117.06734907156786,0.0021114404522813855
15,-125.99695265889176,0.0023896080651320518
16,-125.611334013939,0.0024647722765803338
17,-126.33839918375014,0.0024942050606478004
18,-123.17984371781344,0.0025872848083963616
19,-125.06602708101272,0.0027848270651884377
20,-122.09643267393112,0.0028269963926868514
21,-124.0168477416039,0.003083832632401027
22,-124.0116014838219,0.0031959988188464193
23,-123.73347359895708,0.003135895958985202
24,-124.56722789406783,0.0032240969443228097
25,-124.12456082701694,0.003363179993466474
26,-123.67036718130115,0.003297108427505009
27,-122.58663205802443,0.0031130916101392357
28,-124.85232674479487,0.00309082412510179
29,-114.98698885198684,0.0033768325397977605
30,-120.83958985507488,0.003639997293939814
31,-120.27150103040043,0.0035757877182913942
32,-116.55945560550317,0.003542150442954153
33,-114.1068180960487,0.0035606737999478357
34,-121.75933092832568,0.003507658696034923
35,-117.15942228576166,0.0032342804584186524
36,-122.4232532709837,0.003012272529886104
37,-124.38949633240708,0.0027648492981097663
38,-124.56861935853952,0.0024493870232254267
39,-125.78120211362838,0.002140492300968617
40,-118.81476316712211,0.0020576118218014017
41,-121.77530749440193,0.001872277620714158
42,-126.08686698675159,0.0018213511563953944
43,-119.68407441377632,0.0016723829382681288
44,-122.90957150459295,0.0015138888603542
45,-123.49188341498373,0.001368022581737023
46,-124.58172010779381,0.0013286212924867868
47,-123.83596653938294,0.0012100798946630676
48,-123.28861138820648,0.0011048880477028432
49,-120.47675012648111,0.0010160337695560883
50,-121.1928434537723,0.0009357655863277614
51,-125.50648233294488,0.0008563303660776001
52,-124.1432437121869,0.0008324361516861245
53,-116.08379312558105,0.0007714839924301487
54,-122.84798908829688,0.0006872571422718466
55,-119.77803983539346,0.0006743514545087237
56,-121.96590402722364,0.0006622500445519108
57,-120.92451846897607,0.0006012658306281082
58,-122.27435179948806,0.0005708269828755874
59,-120.31200071945791,0.000596968923782697
60,-120.36028881072995,0.0005915312390425242
61,-124.34897757768633,0.0005545877871190896
62,-118.70910617355254,0.0005183128103089984
63,-121.96081721484667,0.000536357896271511
64,-119.13494554460046,0.0005231148407619913
65,-114.93277671965768,0.0005086550796113442
66,-123.07141804099088,0.0005353644291608362
67,-123.80277593135838,0.000495263913544477
68,-119.75952003598216,0.0004828263423405588
69,-122.65262285172942,0.000522675798565615
70,-121.89690016210078,0.00050525092301541
71,-117.53768838830291,0.0004660229105502367
72,-120.95721121132375,0.0004940908578282688
73,-124.03393514156343,0.00046156416276062375
74,-122.42681691646581,0.00046923230154789054
75,-123.05780949592591,0.0004698837206524331
76,-123.03460139930247,0.0004505545584106585
77,-115.68715778189944,0.0004705159341392573
78,-121.31660638153556,0.0004768777105346089
