Reward,Length,t,Episode,Loss
-102.775795,1000,12.367268,1,0.94251549243927
-420.01016,1000,12.367268,2,0.94251549243927
-284.30206,1000,23.960505,3,1.8584469556808472
-229.02528,1000,23.960505,4,1.8584469556808472
-121.55427,1000,35.047133,5,1.8823775053024292
-142.44064,1000,35.047133,6,1.8823775053024292
-185.54341,1000,45.886417,7,2.4477996826171875
-277.19562,1000,45.886417,8,2.4477996826171875
-184.8589,1000,56.923504,9,1.9925124645233154
-300.9026,1000,56.923504,10,1.9925124645233154
-269.5033,1000,68.48853,11,1.401254653930664
-185.36877,1000,68.48853,12,1.401254653930664
-260.74747,1000,79.331593,13,1.6009763479232788
-194.04051,1000,79.331593,14,1.6009763479232788
-186.7172,1000,90.099611,15,1.420865774154663
-194.38968,1000,90.099611,16,1.420865774154663
-223.59534,1000,100.864878,17,1.4866057634353638
-247.8075,1000,100.864878,18,1.4866057634353638
-236.22932,1000,111.993741,19,1.2629616260528564
-196.35774,1000,111.993741,20,1.2629616260528564
-149.71738,1000,123.201981,21,1.2142536640167236
-208.43297,1000,123.201981,22,1.2142536640167236
-88.27167,1000,134.021475,23,1.0454689264297485
-103.099014,1000,134.021475,24,1.0454689264297485
-122.89766,1000,144.339345,25,0.868038535118103
-98.10432,1000,144.340346,26,0.868038535118103
-92.616974,1000,156.563812,27,0.9751121997833252
-104.90468,1000,156.563812,28,0.9751121997833252
-92.746826,1000,169.389844,29,0.6817666292190552
-111.26383,1000,169.389844,30,0.6817666292190552
-57.090504,1000,182.279152,31,0.8447806239128113
-72.22527,1000,182.279152,32,0.8447806239128113
-84.1664,1000,194.500279,33,0.9884239435195923
-77.80497,1000,194.500279,34,0.9884239435195923
-26.697765,1000,205.852937,35,0.6240131855010986
-70.19819,1000,205.852937,36,0.6240131855010986
-329.9143,1000,217.007195,37,0.9817124605178833
-217.65955,1000,217.007195,38,0.9817124605178833
-167.8872,1000,227.786522,39,0.8760454058647156
-164.32454,1000,227.786522,40,0.8760454058647156
-90.26801,1000,238.850677,41,0.7660821676254272
58.267387,1000,238.850677,42,0.7660821676254272
121.86415,1000,249.750766,43,1.268571376800537
-16.94302,1000,249.750766,44,1.268571376800537
35.848686,1000,260.698061,45,0.7957948446273804
101.90341,1000,260.698061,46,0.7957948446273804
187.23431,1000,271.565567,47,0.8856334686279297
70.85523,1000,271.565567,48,0.8856334686279297
331.82114,1000,282.386463,49,0.6887564063072205
186.87006,1000,282.386463,50,0.6887564063072205
244.01978,1000,293.447012,51,1.033589243888855
195.8123,1000,293.447012,52,1.033589243888855
417.06296,1000,305.345696,53,1.167194128036499
376.41873,1000,305.345696,54,1.167194128036499
365.34537,1000,317.171064,55,0.977573037147522
415.8857,1000,317.171064,56,0.977573037147522
282.1669,1000,329.540535,57,1.3611762523651123
435.6702,1000,329.540535,58,1.3611762523651123
363.68298,1000,343.437341,59,1.2458608150482178
