Episode,Reward,Loss,Epsilon
1,-1837.8018436433842,13.766504009274671,0.199905
2,-1777.32513302689,8.735290031433106,0.19981000000000002
3,-1497.0154621850609,4.659385660886764,0.199715
4,-1518.710556576016,2.7684618875384333,0.19962000000000002
5,-1402.6773440754425,1.806344482898712,0.199525
6,-970.672320936722,1.4870586249232292,0.19943000000000002
7,-1591.3900057430428,1.805999706685543,0.199335
8,-1418.3298784158148,1.8361805936694144,0.19924
9,-1559.685812227481,2.2343661397695542,0.19914500000000002
10,-1515.142621663518,2.4136433607339858,0.19905
11,-1344.8761108883282,3.405115042626858,0.19895500000000002
12,-1500.9156193722138,3.675170107781887,0.19886
13,-1230.1334021850944,5.98867010653019,0.19876500000000002
14,-1235.8959748382338,5.098419862091541,0.19867
15,-1518.729083976214,6.503625273108482,0.198575
16,-1337.922059340953,7.816276914477348,0.19848000000000002
17,-1256.4245741399398,7.4117646670341495,0.198385
18,-1195.2494689630623,10.576172320246696,0.19829000000000002
19,-1325.706666594816,10.167924441695213,0.198195
20,-1267.0053384107189,12.348225077986717,0.1981
21,-1348.2021199983626,12.993088517785072,0.19800500000000001
22,-1317.283551425844,12.480335904955863,0.19791
23,-999.817569414671,16.234891927838326,0.19781500000000002
24,-1053.76291502595,15.91439479291439,0.19772
25,-1155.0657480916161,18.275006316900253,0.19762500000000002
26,-951.4313736768814,18.340577766299248,0.19753
27,-1029.3857398147263,17.74385834276676,0.197435
28,-1316.518111568404,15.513234974741936,0.19734000000000002
29,-859.8621617650482,22.923639003038407,0.197245
30,-606.5687254985124,23.036738187670707,0.19715000000000002
31,-1508.0544514112603,21.926083989739418,0.197055
32,-1534.7565592082574,23.692232451438905,0.19696000000000002
33,-654.707323780408,24.075517646074296,0.196865
34,-401.21531383238636,28.382806857228278,0.19677
35,-876.8491744047809,25.123849315643312,0.19667500000000002
36,-644.9280178662568,29.507747953534125,0.19658
37,-555.0537986248003,34.983061319589616,0.19648500000000002
38,-659.1585569615545,30.295441821813583,0.19639
39,-134.65600771849176,36.7046885240078,0.196295
40,-769.1000614517785,39.350038853883746,0.1962
41,-762.8578629334366,45.89579693078995,0.196105
42,-643.2752124160069,35.22103965878487,0.19601000000000002
43,-608.451250056463,39.32567946314812,0.195915
44,-687.1509162173292,46.850621709823606,0.19582000000000002
45,-645.9561790375633,42.33670185804367,0.195725
46,-647.2372165990671,43.46349500179291,0.19563
47,-761.1412172555317,43.01862852454185,0.19553500000000001
48,-769.91968220894,51.03016167998314,0.19544
49,-235.38766939962986,36.55845540165901,0.19534500000000002
50,-629.3761614727251,48.441381529569625,0.19525
51,-796.2406039875101,30.234623495340347,0.19515500000000002
52,-125.55393675246495,41.9041223180294,0.19506
53,-673.6844861369176,47.77365413069725,0.194965
54,-874.9852029832431,51.307929496765134,0.19487000000000002
55,-252.28208565197977,42.47766251325607,0.194775
56,-653.7519373898657,48.219972059726715,0.19468000000000002
57,-767.2094182195025,49.7191965508461,0.194585
58,-745.1186278160665,35.869940878152846,0.19449000000000002
59,-248.86286987068456,58.15465155005455,0.194395
60,-777.501488039337,46.58819327831268,0.1943
61,-885.582790423397,64.64316416501998,0.19420500000000002
62,-133.45551006223164,65.90486635446548,0.19411
63,-131.1183259187761,57.58340512752533,0.19401500000000002
64,-1.869889115957398,84.95672142744064,0.19392
65,-233.03396365557194,53.6792960858345,0.19382500000000003
66,-878.0125062323096,61.23219972610474,0.19373
67,-2.8434629172513026,66.34616030693054,0.193635
68,-119.44621281760159,68.79477975368499,0.19354000000000002
69,-898.8048094986137,46.526786222457886,0.193445
70,-834.1817385747855,68.93278020858764,0.19335000000000002
71,-894.5909754932302,58.12332542896271,0.193255
72,-123.41762041570708,61.07578382968902,0.19316
73,-10.90097040191724,61.48287852287292,0.19306500000000001
74,-511.6239884351397,55.564118831157685,0.19297
75,-121.98889436454341,57.070762360095976,0.19287500000000002
76,-129.7537791383164,55.647877295017246,0.19278
77,-4.948381299001319,47.54648125648499,0.19268500000000002
78,-1.9385187445596408,39.023489575386044,0.19259
79,-129.9064189312493,67.50897183656693,0.192495
80,-124.96709938932891,78.77741381406784,0.19240000000000002
81,-3.6601019053072568,57.96851090431213,0.192305
82,-316.30706299632544,62.657124795913695,0.19221000000000002
83,-118.98551379078842,80.94493705272674,0.192115
84,-121.52148608740694,63.17616530418396,0.19202000000000002
85,-247.31626053767607,83.18844960927963,0.191925
86,-258.5833755396987,45.19989305973053,0.19183
87,-123.17761911787265,51.091540682315824,0.19173500000000002
88,-355.3025249447675,40.365127115249635,0.19164
89,-3.0838257289307727,66.19174605369568,0.19154500000000002
90,-241.65082269081557,73.70740175008774,0.19145
91,-125.44261716467548,59.50988909959793,0.191355
92,-238.9916128517256,53.691014635562894,0.19126
93,-127.38201946512143,63.572693758010864,0.191165
94,-125.55490862015297,67.94676453351974,0.19107000000000002
95,-126.06401753898565,58.86188315153122,0.190975
96,-350.38539474060286,53.87375994682312,0.19088000000000002
97,-125.86433373093116,60.01136549711227,0.190785
98,-117.85385094937767,70.0932924413681,0.19069
99,-239.62936378617314,53.566348502635954,0.19059500000000001
100,-119.33325392348551,64.94287155866623,0.1905
101,-126.50527071971257,60.727294282913206,0.19040500000000002
102,-125.9696257897402,76.12869053363801,0.19031
