#{"t_start": 1753071698.4905007, "env_id": "None"}
r,l,t
1.0,6,0.121596
1.0,6,0.121596
1.0,6,0.121596
1.0,6,0.121596
1.0,6,0.121596
1.0,6,0.121596
1.0,6,0.121596
1.0,6,0.121596
1.0,6,0.14953
1.0,6,0.14953
1.0,6,0.14953
1.0,6,0.14953
1.0,6,0.14953
1.0,6,0.14953
1.0,6,0.14953
1.0,6,0.14953
1.0,6,0.174772
1.0,6,0.174772
1.0,6,0.174772
1.0,6,0.174772
1.0,6,0.174772
1.0,6,0.174772
1.0,6,0.174772
1.0,6,0.174772
1.0,6,0.199269
1.0,6,0.199269
1.0,6,0.199269
1.0,6,0.199269
1.0,6,0.199269
1.0,6,0.199269
1.0,6,0.199269
1.0,6,0.199269
1.0,6,0.227118
1.0,6,0.227118
1.0,6,0.227118
1.0,6,0.227118
1.0,6,0.227118
1.0,6,0.227118
1.0,6,0.227118
1.0,6,0.227118
1.0,6,0.250694
1.0,6,0.250694
1.0,6,0.250694
1.0,6,0.250694
1.0,6,0.250694
1.0,6,0.250694
1.0,6,0.250694
1.0,6,0.250694
1.0,6,0.270456
1.0,6,0.270456
1.0,6,0.270456
1.0,6,0.270456
1.0,6,0.270456
1.0,6,0.270456
1.0,6,0.270456
1.0,6,0.270456
