Reward,Length,t,Episode,Loss
0.0,2,0.819461,1,
0.0,3,0.823469,2,
0.0,4,0.825472,3,
0.0,5,0.827217,4,
0.0,6,0.922825,5,
0.0,5,0.922825,6,
0.0,9,0.922825,7,
0.0,9,0.922825,8,
0.0,6,0.922825,9,
0.0,7,0.934241,10,
0.0,12,0.934241,11,
0.0,4,0.936245,12,
0.0,8,0.936245,13,
0.0,2,0.936245,14,
0.0,6,0.93825,15,
0.0,6,0.93825,16,
0.0,3,0.940254,17,
0.0,5,0.940254,18,
0.0,5,0.940254,19,
0.0,4,0.940254,20,
0.0,4,0.940254,21,
0.0,13,0.940254,22,
0.0,18,0.955077,23,
0.0,7,0.955077,24,
0.0,3,0.957086,25,
0.0,2,0.957086,26,
0.0,2,0.962742,27,
0.0,3,0.962742,28,
0.0,8,0.967683,29,
0.0,10,0.967683,30,
0.0,4,0.971964,31,
0.0,12,0.971964,32,
0.0,4,0.973968,33,
0.0,7,0.973968,34,
0.0,14,0.973968,35,
0.0,17,0.973968,36,
0.0,4,0.973968,37,
0.0,2,0.973968,38,
0.0,5,0.985414,39,
0.0,4,0.985414,40,
0.0,5,0.985414,41,
0.0,13,0.985414,42,
0.0,11,1.005196,43,
0.0,4,1.005196,44,
0.0,4,1.005196,45,
0.0,8,1.005196,46,
0.0,2,1.005196,47,
0.0,8,1.005196,48,
0.0,3,1.005196,49,
0.0,17,1.005196,50,
0.0,3,1.015615,51,
0.0,5,1.015615,52,
0.0,6,1.015615,53,
0.0,3,1.015615,54,
0.0,3,1.015615,55,
0.0,29,1.025648,56,
0.0,9,1.025648,57,
0.0,13,1.025648,58,
0.0,10,1.033633,59,
0.0,2,1.033633,60,
0.0,8,1.035636,61,
0.0,9,1.035636,62,
0.0,6,1.035636,63,
0.0,2,1.043296,64,
0.0,7,1.043296,65,
0.0,3,1.0453,66,
0.0,15,1.047305,67,
0.0,6,1.049309,68,
0.0,27,1.049309,69,
0.0,7,1.049309,70,
0.0,12,1.049309,71,
0.0,2,1.049309,72,
0.0,3,1.049309,73,
0.0,2,1.055376,74,
0.0,4,1.055376,75,
0.0,3,1.055376,76,
0.0,7,1.055376,77,
0.0,3,1.065389,78,
0.0,18,1.065389,79,
0.0,8,1.071964,80,
0.0,5,1.071964,81,
0.0,6,1.071964,82,
0.0,10,1.071964,83,
0.0,15,1.071964,84,
0.0,2,1.073969,85,
0.0,2,1.075713,86,
0.0,5,1.081577,87,
0.0,6,1.081577,88,
0.0,3,1.083582,89,
0.0,8,1.083582,90,
0.0,7,1.085586,91,
0.0,16,1.085586,92,
0.0,3,1.085586,93,
0.0,8,1.085586,94,
0.0,14,1.085586,95,
0.0,13,1.085586,96,
0.0,5,1.085586,97,
0.0,3,1.085586,98,
0.0,7,1.095996,99,
0.0,6,1.095996,100,
0.0,3,1.106137,101,
0.0,8,1.106137,102,
0.0,7,1.106137,103,
0.0,2,1.106137,104,
0.0,16,1.106137,105,
0.0,11,1.106137,106,
0.0,5,1.106137,107,
0.0,11,1.106137,108,
0.0,12,1.116233,109,
0.0,3,1.116233,110,
1.0,8,1.116233,111,
0.0,7,1.126283,112,
1.0,10,1.126283,113,
0.0,13,1.126283,114,
0.0,6,1.126283,115,
0.0,13,1.126283,116,
0.0,2,1.126283,117,
0.0,10,1.136379,118,
0.0,6,1.136379,119,
0.0,14,1.136379,120,
0.0,12,1.136379,121,
0.0,4,1.136379,122,
0.0,3,1.136379,123,
0.0,2,1.136379,124,
0.0,2,1.146405,125,
0.0,3,1.146405,126,
0.0,8,1.146405,127,
0.0,6,1.146405,128,
