Reward,Length,t,Episode,Loss
-445.61703,200,2.714454,1,0.16747918725013733
-651.26184,200,2.714454,2,0.16747918725013733
-380.92712,200,5.127808,3,0.11344704031944275
-765.8674,200,5.127808,4,0.11344704031944275
-669.6294,200,7.558478,5,0.0710706114768982
-548.399,200,7.558478,6,0.0710706114768982
-461.21103,200,9.986438,7,0.06124107539653778
-912.24194,200,9.986438,8,0.06124107539653778
-870.7712,200,12.254921,9,0.06402110308408737
-505.96988,200,12.254921,10,0.06402110308408737
-657.1541,200,14.839325,11,0.08768588304519653
-594.02155,200,14.839325,12,0.08768588304519653
-869.44147,200,17.632503,13,0.10200922191143036
-466.7997,200,17.632503,14,0.10200922191143036
-473.0178,200,19.937528,15,0.09081198275089264
-787.0137,200,19.937528,16,0.09081198275089264
-501.574,200,22.2535,17,0.09395899623632431
-512.3352,200,22.2535,18,0.09395899623632431
-496.91962,200,24.39611,19,0.11334608495235443
-496.09296,200,24.39611,20,0.11334608495235443
-209.89369,200,26.723779,21,0.11355344951152802
-368.53998,200,26.723779,22,0.11355344951152802
-248.95955,200,28.968719,23,0.09000638872385025
-341.65024,200,28.968719,24,0.09000638872385025
-309.35678,200,31.418645,25,0.12801533937454224
84.03319,200,31.418645,26,0.12801533937454224
89.81118,200,33.839277,27,0.14630194008350372
-6.9248366,200,33.846216,28,0.14630194008350372
190.88802,200,36.29183,29,0.18355122208595276
-243.41502,200,36.29183,30,0.18355122208595276
300.75885,200,38.818266,31,0.22211506962776184
78.27432,200,38.819266,32,0.22211506962776184
293.71072,200,41.154748,33,0.2109050154685974
209.45181,200,41.154748,34,0.2109050154685974
216.7772,200,43.384155,35,0.1925104260444641
397.84485,200,43.384155,36,0.1925104260444641
294.0928,200,45.86205,37,0.18023277819156647
140.25792,200,45.86205,38,0.18023277819156647
221.73407,200,48.191391,39,0.30444198846817017
298.11716,200,48.191391,40,0.30444198846817017
201.80627,200,50.663506,41,0.35248491168022156
396.79016,200,50.663506,42,0.35248491168022156
298.0552,200,53.027009,43,0.4587792158126831
